best_evalue	best_bitscore	best_pident	length	qlen	slen	q_union	s_union	qcov	scov	coverage	coverage_type	qseqid	best_sseqid	task	db	task_used	best_accession	best_title	best_species	best_name	best_hit	oligo_best_sseqid	oligo_best_pident	oligo_best_length	oligo_best_evalue	oligo_best_bitscore	oligo_best_scov	oligo_fitting	oligo_hits_topN
2.11e-17	81.8	100.0	41.0	569.0	41.0	41	41	0.07205623901581722	1.0	1.0	near-full	CL00011	1997_Galasso_Genomic_Organization_And.pdf_pTa794	blastn-short	oligo	blastn-short	1997_Galasso_Genomic_Organization_And.pdf_pTa794				1997_Galasso_Genomic_Organization_And.pdf_pTa794	P448	95.745	235.0	1.64e-107	381.0	0.9084821428571429	oligo	P448|fit=oligo|pident=95.7|len=235|scov=0.908|e=1.6e-107;1988_Xin-Appels_Occurrence_of_rye_(Secale_cereale)_350-family_repeat|fit=oligo|pident=95.5|len=221|scov=0.842|e=3.7e-99;1997_Galasso_Genomic_Organization_And.pdf_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2010_Liu_Genome_relationships_in_the_genus_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2013_Zhang_Distribution_Of_Highly_Repeated.pdf_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2018_Kong_Development_and_characterization_of_a_complete_set_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2018_Li_FISH-Based_Markers_Enable_oligo-pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2018_Lucia_Discovery_of_the_genus_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17;2019_Badaeva_Molecular-cytogenetic_analysis_of_diploid_wheatgrass_pTa794|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.1e-17
1.9700000000000002e-100	363.0	79.577	426.0	570.0	550.0	546	534	0.9578947368421052	0.9709090909090909	0.9709090909090909	near-full	CL00012	ref|MN161206.1|	dc-megablast	ncbi	dc-megablast	ref		MN161206.1|		ref	17-202	93.158	570.0	0.0	821.0	1.0	oligo	17-202|fit=oligo|pident=93.2|len=570|scov=1.000|e=0;2020_Nikitina_Development_of_Specific_Thinopyrum_17-202|fit=oligo|pident=92.8|len=529|scov=1.000|e=0;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL261|fit=oligo|pident=96.1|len=385|scov=1.000|e=0;AC4x_CL261_553nt|fit=oligo|pident=96.1|len=385|scov=1.000|e=0;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL198|fit=oligo|pident=89.6|len=383|scov=1.000|e=5.2e-126;2021_Wu_Characterization_of_Each_St_and_Y_Genome_StY_107|fit=weak|pident=88.3|len=60|scov=0.417|e=5e-12;CL149|fit=weak|pident=85.0|len=60|scov=0.320|e=2.9e-07;CL230|fit=weak|pident=94.1|len=17|scov=0.148|e=1.1;Oligo-3D|fit=weak|pident=94.1|len=17|scov=0.088|e=1.1;18-158|fit=weak|pident=100.0|len=12|scov=0.108|e=4.3
1.75e-130	462.0	92.835	321.0	333.0	334.0	319	320	0.9579579579579579	0.9580838323353293	0.9580838323353293	near-full	CL00013	ref|ON872663.1|	megablast	ncbi	megablast	ref		ON872663.1|		ref	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL149	96.073	331.0	1.14e-159	553.0	0.993993993993994	oligo	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL149|fit=oligo|pident=96.1|len=331|scov=0.994|e=1.1e-159;18-158|fit=oligo|pident=94.0|len=333|scov=1.000|e=3.7e-144;P334|fit=oligo|pident=93.3|len=327|scov=0.988|e=2.1e-133;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL131|fit=oligo|pident=92.8|len=321|scov=1.000|e=1.2e-125;AC4x_CL131_334nt|fit=oligo|pident=92.8|len=321|scov=1.000|e=1.2e-125;2019_Chen_Cytological_and_molecular_characterization_BSCL156|fit=oligo|pident=100.0|len=37|scov=1.000|e=3e-15;BSCL156-1|fit=oligo|pident=100.0|len=37|scov=1.000|e=3e-15;BSCL156-3|fit=oligo|pident=100.0|len=29|scov=0.879|e=1.8e-10;BSCL156-2|fit=oligo|pident=96.0|len=25|scov=0.824|e=1e-05;Oligo-5AL|fit=weak|pident=100.0|len=13|scov=0.164|e=0.62
7.31e-73	272.0	86.561	253.0	741.0	252.0	686	252	0.9257759784075573	1.0	1.0	near-full	CL00014	ref|MK256656.1|	megablast	ncbi_x3	megablast	ref		MK256656.1|		ref	P431	87.73	163.0	1.87e-40	157.0	0.8928571428571429	oligo	P431|fit=oligo|pident=87.7|len=163|scov=0.893|e=1.9e-40;1988_Xin-Appels_Occurrence_of_rye_(Secale_cereale)_350-family_repeat|fit=weak|pident=93.3|len=15|scov=0.095|e=7.1;1997_Galasso_Genomic_Organization_And.pdf_pTa794|fit=weak|pident=93.3|len=15|scov=0.366|e=7.1;2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pTa794|fit=weak|pident=93.3|len=15|scov=0.366|e=7.1;2010_Liu_Genome_relationships_in_the_genus_pTa794|fit=weak|pident=93.3|len=15|scov=0.366|e=7.1;2013_Zhang_Distribution_Of_Highly_Repeated.pdf_pTa794|fit=weak|pident=93.3|len=15|scov=0.366|e=7.1;2017_Han_Isolation_And_Application_pAcPR7|fit=weak|pident=93.3|len=15|scov=0.088|e=7.1;2017_Han_Isolation_And_Application_pAcpCR2|fit=weak|pident=93.3|len=15|scov=0.050|e=7.1;2017_Pan_Chromosomal_localization_of_genes_pAcpCR2|fit=weak|pident=93.3|len=15|scov=0.050|e=7.1;2018_Chen_Identification_and_genetic_analysis_of_multiple_P_chromosomes_pAcpCR2|fit=weak|pident=93.3|len=15|scov=0.050|e=7.1
1.29e-136	483.0	93.789	322.0	320.0	4452.0	320	521	1.0	0.11702605570530099	1.0	near-full	CL00015	ref|AF139201.1|	megablast	ncbi	megablast	ref		AF139201.1|		ref	AC4x_CL209_316nt	86.731	309.0	1.46e-72	264.0	0.9715189873417721	oligo	AC4x_CL209_316nt|fit=oligo|pident=86.7|len=309|scov=0.972|e=1.5e-72;P320|fit=weak|pident=87.3|len=71|scov=0.319|e=4.4e-14;AC4x_CL219_319nt|fit=weak|pident=87.7|len=65|scov=0.298|e=6.9e-13;AC4x_CL232_320nt|fit=weak|pident=85.9|len=71|scov=0.331|e=1.1e-11;AC4x_CL258_1307nt|fit=weak|pident=94.7|len=19|scov=0.083|e=0.038;2017_Han_Isolation_And_Application_pAcTR1|fit=weak|pident=100.0|len=12|scov=0.099|e=2.4;pSc119_1|fit=weak|pident=100.0|len=12|scov=0.030|e=2.4;P485|fit=weak|pident=93.3|len=15|scov=0.146|e=9.3;1996_Vershinin_Molecular_Diversification_pSc200|fit=weak|pident=100.0|len=11|scov=0.084|e=9.3;1997_Galasso_Genomic_Organization_And.pdf_pSc200|fit=weak|pident=100.0|len=11|scov=0.084|e=9.3
6.63e-16	80.5	80.328	122.0	121.0	434.0	121	110	1.0	0.2534562211981567	1.0	near-full	CL00016	ref|MN587591.1|	megablast	ncbi	megablast	ref		MN587591.1|		ref	P121_0	93.243	74.0	7.25e-26	107.0	1.0	oligo	P121_0|fit=oligo|pident=93.2|len=74|scov=1.000|e=7.3e-26;1997_Galasso_Genomic_Organization_And.pdf_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;1999_Uslu_Characterization_of_Dasypyrum_Villosum_(L.)_Candargy.pdf_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2001_Linde-Laursen_Karyotypes_of_Elymus_scabrifolius_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2001_Orgaard_Genome_discrimination_by_in_situ_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2010_Liu_Genome_relationships_in_the_genus_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2010_Mahelka_Gene_Capture_from_across_the_Grass_Family_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2011_Dou_Physical_mapping_of_repetitive_sequences_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07;2011_Georgieva_Molecular_cytogenetic_characterization_pTa71|fit=oligo|pident=96.3|len=27|scov=0.818|e=2.3e-07
7.6e-28	119.0	95.946	74.0	74.0	39885.0	74	2033	1.0	0.05097154318666165	1.0	near-full	CL00017	ref|AH012974.2|	megablast	ncbi	megablast	ref		AH012974.2|		ref	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P332	92.593	54.0	1.46e-16	75.8	0.9041095890410958	oligo	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P332|fit=oligo|pident=92.6|len=54|scov=0.904|e=1.5e-16;P332|fit=oligo|pident=92.6|len=54|scov=0.904|e=1.5e-16;2019_Wang_Diversified_Chromosome_Rearrangements_oligo-k566_by_Tang_et_al._(2014)|fit=oligo|pident=95.6|len=45|scov=1.000|e=5.7e-16;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-k566|fit=oligo|pident=95.6|len=45|scov=1.000|e=5.7e-16;P143|fit=weak|pident=92.3|len=39|scov=0.699|e=5.3e-10;2021_Wu_Characterization_of_Each_St_and_Y_Genome_StY_93|fit=weak|pident=89.7|len=39|scov=0.542|e=1.3e-07;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=100.0|len=11|scov=0.066|e=1.9;2015_Ye_The_Effects_Of_Chromosome_6P_pAcCR1|fit=weak|pident=88.9|len=18|scov=0.029|e=7.5;2017_Han_Isolation_And_Application_pAcCR1|fit=weak|pident=88.9|len=18|scov=0.029|e=7.5;2022_Wang_Introgression_of_chromosome_1P_from_Agropyron_cristatum_pAcCR1|fit=weak|pident=88.9|len=18|scov=0.029|e=7.5
2.59e-18	90.6	83.516	91.0	243.0	163.0	90	90	0.37037037037037035	0.5521472392638037	0.5521472392638037	weak	CL00018	ref|EU289334.1|	blastn	ncbi	blastn	ref		EU289334.1|		ref	2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL215	100.0	11.0	7.0	22.3	0.03104693140794224	weak	2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL215|fit=weak|pident=100.0|len=11|scov=0.031|e=7;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL16|fit=weak|pident=100.0|len=11|scov=0.049|e=7;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL8|fit=weak|pident=100.0|len=11|scov=0.046|e=7;AC4x_CL8_584nt|fit=weak|pident=100.0|len=11|scov=0.046|e=7;Oligo-2BS|fit=weak|pident=92.9|len=14|scov=0.038|e=28;1997_Galasso_Genomic_Organization_And.pdf_pDbKB45|fit=weak|pident=100.0|len=10|scov=0.016|e=28;2017_Han_Isolation_And_Application_pAcPR2|fit=weak|pident=100.0|len=10|scov=0.020|e=28;2017_Han_Isolation_And_Application_pAcpCR2|fit=weak|pident=100.0|len=10|scov=0.027|e=28;2017_Pan_Chromosomal_localization_of_genes_pAcpCR2|fit=weak|pident=100.0|len=10|scov=0.027|e=28;2018_Chen_Identification_and_genetic_analysis_of_multiple_P_chromosomes_pAcpCR2|fit=weak|pident=100.0|len=10|scov=0.027|e=28
1.69e-24	101.0	100.0	51.0	52.0	271.0	52	271	1.0	1.0	1.0	near-full	CL00019	P271	blastn-short	oligo	blastn-short	P271				P271	P271	100.0	51.0	1.69e-24	101.0	1.0	oligo	P271|fit=oligo|pident=100.0|len=51|scov=1.000|e=1.7e-24;2021_Zhang_KASP_markers_to_detect_sub-chromosomal_oligo-45|fit=oligo|pident=100.0|len=24|scov=1.000|e=2.2e-08;Oligo-45|fit=oligo|pident=100.0|len=24|scov=1.000|e=2.2e-08;FAT|fit=weak|pident=100.0|len=11|scov=0.047|e=1.3;2017_Han_Isolation_And_Application_pAcPR2|fit=weak|pident=100.0|len=10|scov=0.040|e=5;2017_Han_Isolation_And_Application_pAcpCR1|fit=weak|pident=100.0|len=10|scov=0.032|e=5;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=100.0|len=10|scov=0.028|e=5;P320|fit=weak|pident=100.0|len=10|scov=0.031|e=5;2017_Han_Isolation_And_Application_pAcPR10|fit=weak|pident=100.0|len=9|scov=0.031|e=20;2017_Han_Isolation_And_Application_pAcPR4|fit=weak|pident=100.0|len=9|scov=0.006|e=20
9.41e-23	95.6	100.0	48.0	48.0	88.0	48	88	1.0	1.0	1.0	near-full	CL00020	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL241	blastn-short	oligo	blastn-short	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL241				2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL241	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL241	100.0	48.0	9.41e-23	95.6	1.0	oligo	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL241|fit=oligo|pident=100.0|len=48|scov=1.000|e=9.4e-23;AC4x_CL241_88nt|fit=oligo|pident=100.0|len=48|scov=1.000|e=9.4e-23;2018_Lang_Precise_identification_of_wheat_oligo-3A1|fit=oligo|pident=100.0|len=44|scov=1.000|e=2.3e-20;2019_Lang_Genome-Wide_Distribution_oligo-3A1|fit=oligo|pident=100.0|len=44|scov=1.000|e=2.3e-20;2019_Li_Comparative_FISH_and_molecular_identification_oligo-3A1|fit=oligo|pident=100.0|len=44|scov=1.000|e=2.3e-20;2019_Yu_Characterization_of_Chromosomal_Rearrangement_in_oligo-3A1|fit=oligo|pident=100.0|len=44|scov=1.000|e=2.3e-20;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-3A1|fit=oligo|pident=100.0|len=44|scov=1.000|e=2.3e-20;2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P132|fit=oligo|pident=95.8|len=48|scov=0.894|e=5.6e-18;P132|fit=oligo|pident=95.8|len=48|scov=0.894|e=5.6e-18;Oligo-44|fit=oligo|pident=100.0|len=25|scov=1.000|e=5e-09
1.3e-18	81.8	97.778	45.0	45.0	132.0	45	132	1.0	1.0	1.0	near-full	CL00021	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P132	blastn-short	oligo	blastn-short	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P132				2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P132	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P132	97.778	45.0	1.3e-18	81.8	1.0	oligo	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P132|fit=oligo|pident=97.8|len=45|scov=1.000|e=1.3e-18;P132|fit=oligo|pident=97.8|len=45|scov=1.000|e=1.3e-18;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL241|fit=oligo|pident=93.3|len=45|scov=0.966|e=7.7e-14;AC4x_CL241_88nt|fit=oligo|pident=93.3|len=45|scov=0.966|e=7.7e-14;2019_Chen_Cytological_and_molecular_characterization_BSCL184|fit=oligo|pident=96.9|len=32|scov=1.000|e=7.5e-11;BSCL184-1|fit=oligo|pident=96.9|len=32|scov=1.000|e=7.5e-11;BSCL184-2|fit=oligo|pident=96.4|len=28|scov=1.000|e=1.8e-08;2018_Lang_Precise_identification_of_wheat_oligo-3A1|fit=oligo|pident=100.0|len=20|scov=1.000|e=4.4e-06;2019_Lang_Genome-Wide_Distribution_oligo-3A1|fit=oligo|pident=100.0|len=20|scov=1.000|e=4.4e-06;2019_Li_Comparative_FISH_and_molecular_identification_oligo-3A1|fit=oligo|pident=100.0|len=20|scov=1.000|e=4.4e-06
3.04e-161	566.0	86.982	507.0	752.0	503.0	506	503	0.6728723404255319	1.0	1.0	near-full	CL00022	ref|OL685354.1|	megablast	ncbi	megablast	ref		OL685354.1|		ref	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL193	97.436	507.0	0.0	880.0	1.0	oligo	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL193|fit=oligo|pident=97.4|len=507|scov=1.000|e=0;AC4x_CL193_504nt|fit=oligo|pident=97.4|len=507|scov=1.000|e=0;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-7E-430|fit=oligo|pident=100.0|len=56|scov=0.982|e=3.1e-26;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-5D151|fit=oligo|pident=100.0|len=41|scov=1.000|e=2.8e-17;P501|fit=weak|pident=90.9|len=33|scov=0.267|e=2.4e-05;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL18|fit=weak|pident=100.0|len=21|scov=0.201|e=2.4e-05;AC4x_CL18_487nt|fit=weak|pident=100.0|len=21|scov=0.201|e=2.4e-05;P631|fit=weak|pident=100.0|len=20|scov=0.284|e=9.5e-05;FAT|fit=weak|pident=82.4|len=51|scov=0.460|e=0.092;17-172|fit=weak|pident=100.0|len=13|scov=0.381|e=1.4
1.73e-10	54.0	100.0	27.0	31.0	68.0	30	54	0.967741935483871	0.7941176470588235	0.967741935483871	near-full	CL00023	P68	blastn-short	oligo	blastn-short	P68				P68	Oligo-37	100.0	21.0	6.59e-07	42.1	0.8108108108108109	oligo	Oligo-37|fit=oligo|pident=100.0|len=21|scov=0.811|e=6.6e-07;P68|fit=weak|pident=100.0|len=27|scov=0.794|e=1.7e-10;2017_Han_Isolation_And_Application_pAcPR10|fit=weak|pident=100.0|len=12|scov=0.052|e=0.15;2017_Zhao_Diversification_of_the_P_genome_oligo-CAG|fit=weak|pident=100.0|len=12|scov=1.000|e=0.15;2020_Xie_Molecular_karyotyping_oligo-(CAG)10|fit=weak|pident=100.0|len=12|scov=1.000|e=0.15;1992_De_Pace_Molecular_and_chromosomal_characterization.pdf_p380|fit=weak|pident=92.9|len=14|scov=0.035|e=2.4;1994_Frediani_Redundancy_Modulation.pdf_396-bp_repeat|fit=weak|pident=92.9|len=14|scov=0.035|e=2.4;17-62|fit=weak|pident=100.0|len=10|scov=0.019|e=2.4;1988_McIntyre_Amplification_and_dispersion_of_repeated_1.4_kb_family|fit=weak|pident=100.0|len=10|scov=0.028|e=2.4;2010_Wu_Cloning_And_Characterization_pAx11|fit=weak|pident=100.0|len=10|scov=0.038|e=2.4
3.83e-14	74.3	85.714	63.0	64.0	3961.0	63	63	0.984375	0.015905074476142388	0.984375	near-full	CL00024	ref|KT724937.1|	dc-megablast	ncbi	dc-megablast	ref		KT724937.1|		ref	P126	95.312	64.0	5.53e-25	103.0	0.9920634920634921	oligo	P126|fit=oligo|pident=95.3|len=64|scov=0.992|e=5.5e-25;2017_Han_Isolation_And_Application_pAcpCR2|fit=weak|pident=100.0|len=13|scov=0.065|e=0.1;2017_Pan_Chromosomal_localization_of_genes_pAcpCR2|fit=weak|pident=100.0|len=13|scov=0.065|e=0.1;2018_Chen_Identification_and_genetic_analysis_of_multiple_P_chromosomes_pAcpCR2|fit=weak|pident=100.0|len=13|scov=0.065|e=0.1;2019_Han_Identification_of_P_genome_chromosomes_pAcpCR2|fit=weak|pident=100.0|len=13|scov=0.065|e=0.1;2022_Pan_Identification_of_5P_pAcpCR2|fit=weak|pident=100.0|len=13|scov=0.065|e=0.1;2018_Liu_Development_of_Thinopyrum_ponticum_pThp2.77|fit=weak|pident=100.0|len=11|scov=0.138|e=1.6;2019_Liu_Development_and_Application_of_Transposable_S161|fit=weak|pident=100.0|len=11|scov=0.196|e=1.6;pThp2_77_0|fit=weak|pident=100.0|len=11|scov=0.138|e=1.6;2017_Han_Isolation_And_Application_pAcPR3|fit=weak|pident=88.9|len=18|scov=0.099|e=6.4
0.006	32.2	100.0	16.0	187.0	38.0	46	27	0.24598930481283424	0.7105263157894737	0.7105263157894737	partial	CL00025	P38	blastn-short	oligo	blastn-short	P38				P38	P38	100.0	16.0	0.006	32.2	0.7105263157894737	weak	P38|fit=weak|pident=100.0|len=16|scov=0.711|e=0.006;2021_Wu_Characterization_of_Each_St_and_Y_Genome_StY_93|fit=weak|pident=92.9|len=14|scov=0.194|e=21;P143|fit=weak|pident=92.9|len=14|scov=0.196|e=21;17-202|fit=weak|pident=100.0|len=10|scov=0.054|e=21;1988_McIntyre_Amplification_and_dispersion_of_repeated_1.4_kb_family|fit=weak|pident=100.0|len=10|scov=0.033|e=21;1997_Galasso_Genomic_Organization_And.pdf_pDbKB45|fit=weak|pident=100.0|len=10|scov=0.040|e=21;2017_Han_Isolation_And_Application_pAcPR10|fit=weak|pident=100.0|len=10|scov=0.033|e=21;2017_Han_Isolation_And_Application_pAcPR3|fit=weak|pident=100.0|len=10|scov=0.035|e=21;2017_Han_Isolation_And_Application_pAcPR5|fit=weak|pident=100.0|len=10|scov=0.025|e=21;2017_Han_Isolation_And_Application_pAcpCR2|fit=weak|pident=100.0|len=10|scov=0.038|e=21
2.85e-18	92.4	76.923	117.0	866.0	5198.0	105	117	0.12124711316397228	0.02250865717583686	0.12124711316397228	weak	CL00026	ref|XM_044587414.1|	dc-megablast	ncbi	dc-megablast	ref		XM_044587414.1|		ref	2017_Han_Isolation_And_Application_pAcpCR1	94.737	19.0	0.11	30.2	0.06371986222732491	weak	2017_Han_Isolation_And_Application_pAcpCR1|fit=weak|pident=94.7|len=19|scov=0.064|e=0.11;19-202|fit=weak|pident=100.0|len=13|scov=0.034|e=1.6;2017_Han_Isolation_And_Application_pAcTR2|fit=weak|pident=100.0|len=13|scov=0.099|e=1.6;2017_Han_Isolation_And_Application_pAcTRT1|fit=weak|pident=100.0|len=13|scov=0.079|e=1.6;2017_Pan_Chromosomal_localization_of_genes_pAcTRT1|fit=weak|pident=100.0|len=13|scov=0.079|e=1.6;2018_Chen_Identification_and_genetic_analysis_of_multiple_P_chromosomes_pAcTRT1|fit=weak|pident=100.0|len=13|scov=0.079|e=1.6;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=100.0|len=13|scov=0.107|e=1.6;2019_Han_Identification_of_P_genome_chromosomes_pAcTRT1|fit=weak|pident=100.0|len=13|scov=0.079|e=1.6;2020_Nikitina_Development_of_Specific_Thinopyrum_19-202|fit=weak|pident=100.0|len=13|scov=0.034|e=1.6;2022_Pan_Identification_of_5P_pAcTRT1|fit=weak|pident=100.0|len=13|scov=0.079|e=1.6
4.3	22.3	100.0	11.0	152.0	1704.0	36	36	0.23684210526315788	0.02112676056338028	0.23684210526315788	weak	CL00027	2017_Han_Isolation_And_Application_pAcPR2	blastn-short	oligo	blastn-short	2017_Han_Isolation_And_Application_pAcPR2				2017_Han_Isolation_And_Application_pAcPR2	2017_Han_Isolation_And_Application_pAcPR2	100.0	11.0	4.3	22.3	0.02112676056338028	weak	2017_Han_Isolation_And_Application_pAcPR2|fit=weak|pident=100.0|len=11|scov=0.021|e=4.3;2017_Han_Isolation_And_Application_pAcPR5|fit=weak|pident=100.0|len=11|scov=0.060|e=4.3;pSc119_2|fit=weak|pident=100.0|len=11|scov=0.105|e=4.3;1995_Li_Isolation,_characterization_and_application.pdf_pHv62|fit=weak|pident=92.9|len=14|scov=0.113|e=17;1999_Uslu_Characterization_of_Dasypyrum_Villosum_(L.)_Candargy.pdf_pHv62|fit=weak|pident=92.9|len=14|scov=0.113|e=17;2008_Wilson_PRODUCTION_OF_WHEAT-HAYNALDIA_VILLOSA.pdf_pHv62|fit=weak|pident=92.9|len=14|scov=0.113|e=17;2012_Grosso_Flow_Sorting_and_Molecular_Cytogenetic_pHv62|fit=weak|pident=92.9|len=14|scov=0.113|e=17;2016_Li_Molecular_cytogenetic_characterization_of.pdf_oligo-pHv62-1|fit=weak|pident=92.9|len=14|scov=0.113|e=17;2017_Han_Isolation_And_Application_pAcP43|fit=weak|pident=92.9|len=14|scov=0.029|e=17;2018_Zhang_Molecular_markers_and_cytogenetics.pdf_oligo-pHv62-1|fit=weak|pident=92.9|len=14|scov=0.113|e=17
323.0	16.4	100.0	8.0	184.0	28.0	8	22	0.043478260869565216	0.7857142857142857	0.7857142857142857	partial	CL00028	2017_Linc_Molecular_cytogenetic_(FISH)_HT100.3_(TTTAGGG)n	blastn-short	oligo	blastn-short	2017_Linc_Molecular_cytogenetic_(FISH)_HT100.3_(TTTAGGG)n				2017_Linc_Molecular_cytogenetic_(FISH)_HT100.3_(TTTAGGG)n	2013_Gong_Development_and_utilization_of_new_sequenced_4I694	100.0	11.0	5.2	22.3	0.03890489913544669	weak	2013_Gong_Development_and_utilization_of_new_sequenced_4I694|fit=weak|pident=100.0|len=11|scov=0.039|e=5.2;2015_Zhang_Identification_of_Novel_Chromosomal_Aberrations_oligo-pTa535-1_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2015_Zhang_Molecular_and_Cytogenetic_Characterizatio_oligo-pTa535_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2016_Li_Molecular_cytogenetic_characterization_of.pdf_oligo-pTa535_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2017_Han_Isolation_And_Application_pAcPR5|fit=weak|pident=100.0|len=11|scov=0.048|e=5.2;2018_Lang_Precise_identification_of_wheat_oligo-pTa535_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2018_Li_FISH-Based_Markers_Enable_oligo-pTa535_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2018_Wang_Characterization_of_New_Wheat-_Dasypyrum_oligo-pTa535_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2019_Badaeva_Molecular-cytogenetic_analysis_of_diploid_wheatgrass_oligo-pTa535-1_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2;2019_Lang_Genome-Wide_Distribution_oligo-pTa535_by_Tang_et_al._(2014)|fit=weak|pident=100.0|len=11|scov=0.305|e=5.2
